Utterance,ContentFocus,MediaProduction,InclusiveDisposition,SocialDisposition,CollaborativeDisposition,Cross-culturalDisposition,InfoSharing,ParticipatoryTeaching,Feedback,IdeaIntroduction,KnowledgeAcquisition,Curiosity,Self-Awareness,TaskOrientation
Oh no this is my first time seeing it. But it was edited really well I think.,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Oh Elaine I suggest you show to the program next time.,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I was like why isn't their music...cause some,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oh okay I see. I agree.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How about Christine Lameck or Jake. Any thoughts?,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Were you able to have any opinions about the video we just watched by Elaine?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okay. Were You. Were you able to watch it. OK? Did it make sense? Or were you not able to hear it?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
We were not able to hear.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okay. Well just in. There is a link in the chat window so you can watch it later too. If you wish.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I've also put the link into the agenda. So even if after you want to watch it you'll be able to.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I think Jake maybe it was about to say something.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I one question one comment. My comment is. It was a very welldone video. Maybe so some constructive criticism is maybe have some more B-roll because I do video production at Spring Valley High School as well. So I make a lot of videos and B role is very important just so we're not constantly going back to that same interview. Other than that it was really good. Uh and yeah backup music would've helped. Uh and the question is how many people worked on the video? How big was a group?,0,1,0,1,0,0,0,0,1,0,0,1,0,0
Oh. All right thanks for the feedback. And um so all we did like okay so basically there was...we Had one director and we had like the person who is asking questions which was Ish actually right?,0,1,0,0,0,0,0,0,0,0,0,0,0,0
I was the one who actually uh was interviewing the alumni person.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
And then we had some person one-person audio. I think we have one person doing two cameras that's four people right. And then we had editor. Yeah. I think there's like a fifth person too who helped with camera at the end we' were doing we were doing B roll.,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Oh I am. Anyone else have a comment to make about the video? Yeah. I just want to add on to Jake's point like for the B-roll. Usually well when I was but I usually do it when I used to edit on ic4 like I'd be well and have like another B-roll after that instead of cutting back I must be very back down to her to her profile Maybe You can be a b-role and add to her profile that you're something good like doing like me in the future be like You have her profile and b-roll and different B-roll like that so string the b-rolls together more often I guess more often I guess. Yeah because you're just cutting back and forth which is just like it gets a bit like noxious I guess.,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Cool.So um Tenzin do you have a video? Deal with video online so I have to actually disturb it much. Are you still working on it?,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Well the one I'm about to do I'm filming tomorrow but I have a really old video.,0,1,0,0,0,0,0,0,0,0,0,0,0,0
On the bottom there's like a green button just go and I'll pop up oh she's on the way Tenzin.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I think you should be able to. Danielle can confirm with that?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You should be...because You can screenshare from your phone too.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oh. Okay. Let Me try to figure this out.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wait if you go to the bottom a green button It says Look share with the arrow thingy.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeah it looks like something else but yeah.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What do I press after...oh screen. OK. Got it. Oh I have to go to settings. OK wait.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wait I'm we'll put Tenzin on hold while she figures that out. Allison you still working on yours as well? right?,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I also another reel that I,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okay. So I guess I'm just ready to set up and go?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okay. then while Tenzin works on that one I guess you can screenshare yours?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uh this is a video that I made a while ago. A couple of months ago...that got posted. Okay. Okay. Can you see my screen?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeah. we can see your screen.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oh Alison are you showing your science and religion video?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cool. So I Think Jake somehow...is Jake still on the call? Can't tell.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
He was lost my screen. Like wait where did he go? OK. So does anyone have a comment so far about it? How about Lameck and Christine? What did you guys think about it? (pause) Not sure you hear me or not. Lameck and Christine can you guys uh you guys have a comment about Allison's video?,0,0,1,0,0,0,0,0,0,0,0,0,0,0
You think uh ... About the video. It's very nice.,0,0,0,1,0,0,0,0,0,0,0,0,0,0
What makes it nice to you in your opinion?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I was also fooled by the optical illusions. So I learned a lot.,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Alison I'm curious why you chose that.,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Well um 'cause I was on Instagram one day and I saw like an optical illusion I was like wow that's really cool. so I like researched like the science behind it and that's what inspired me to make the reel.,1,0,0,0,0,0,0,0,0,0,1,0,1,0
How about you Jake and you have some video production experience right?,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Yeah. I liked the video. It was very well done as well. Um I'd say it should be a little longer. It covered the topics pretty fast and it was hard to take all this in cause it goes over different concepts a little bit too fast. And It was just a little hard to keep up with the pace of the video so I think you should maybe expand on it and make another video that's longer and goes over each aspect of the illusion. And maybe go over different types of optical illusions as well.,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Does anyone else have a comment to make?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Um I also agree but I think Allison um I think you did a good job though like trying to make it concise in a way. And I was also on set as a director and the lighting was so bad and I think it was edited well enough to make it look good so yeah.,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Ok so I agree with Jake. It went a bit fast as well but I do understand because you have like a...I understand that you guys have a four-minute five minute limit on your videos cause from personal experience so so what you could do then instead of like I'm not sure if this has been done before but you can make a part-one video part 2 video and part 2 can go more in-depth into it. And part one has more of a general aspect general information of optical illusions but if you just like just like not go too much into details yeah or give them like reference links if they want to understand more about optical illusion and stuff. Okay cool. Um Tenzin how's your video?,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Can you guys see it? I'll start it from the beginning.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Um your audio is not there but.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Did you a hand make the subtitles? I mean hand write the subtitles?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maybe actually...could somebody else maybe pull it up on their computer so we can...,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cause this is on You-tube right so we.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okay. so um. Um wait what's the video called?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Come build your own group goldbreak machine I think.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You kind of look like the references come up.And you see the different type of references that You-tube has for you?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I think she just went on the YouTube channel. There you go. This one.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Did you build one yourself yet or no?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Did you build a Rube Goldberg machine yourself yet or?,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Uh no. I could have never...,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I really like the way it was edited. I liked the b roll...of the kid actually..like... on the machine.,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Well it's like the breakdown of who did what for the video?,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Well I actually was sort of supposed to do a last-minute um Beck just came to me and asked me to do audio and her and Kevin were doing camera A and camera B because you could see the two camera angles switching and then Jayde was just interviewing the director sort of on how to build it.,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Yeah that was me. I also edited it.,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Okay. Yeah. Guys it's like if you guys worked on a project of someone else's just mention it so we know and you're not gonna find out later you know. Okay.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
It's actually my first editing job so.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Was there anything you learned in the process?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Um it takes a lot of revisions to make sure to get the perfect one to go up on YouTube.,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yeah I feel it. Okay. Um So okay. Uh So how about Jake Lameck and Christine? How do you guys feel about video? Does it make you like want to go and build a Rube Goldberg machine because he knows the purpose of the video right?,1,0,1,0,0,0,0,0,0,0,0,0,0,0
As for me I enjoyed the video but I have a question. So what do work on that machine?,0,0,0,1,0,0,0,0,0,0,0,1,0,0
What is the what? I didn't hear the middle part sorry.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
She's asking us to work on the machine like what's the function of the machine?,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Um basically you sort of have an object at the beginning and it goes through a long obstacle course sort of. And at the end the purpose of the one in the video was to hit the bell um but a lot of other people make it to do maybe close close a door or something. There's like a bunch of purposes that it can fulfill. You should try one.,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Okay. Do you understand more about the machine? or do you like need a little more elaboration? Great. Okay yes. How about you Jake?,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Yeah I'd like to say because you're inviting other kids and other people to come to New York Hall of Science to partake in this correct?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeah I mean I was idea in video right?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
So I'd say in the video you might want to explain what is a Rube Goldberg machine.,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Because correct me if I'm wrong but it's a machine that's overcomplicated to do a simple task right?,1,0,0,0,0,0,1,0,0,0,0,0,0,0
So I think maybe just added at the beginning the video so it's not you have to do this one task you can do several things anyway you want. I think that would make it more broad and help like little kids understand who might not know what this is. Other than that it was good editing good lighting overall good video.,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Yeah. I'm gonna mention that too. Yes. I'm gonna casually just chilling on his shoulder.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeah. This is Aries. He's a bearded dragon.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okay. Cool cool. Cool Little lizard.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
So um. I Think that covers most people's project stuff. Um Lameck and Christine do you guys have a popup-like a video. I mean have a PowerPoint or a video of some kind? (2-second pause) It's totally fine if you don't have any. I was like wondering if you guys have anything to share today.,0,0,1,0,0,0,0,0,0,0,0,0,0,0
For me I don't have a video. Mine is just a lot of explanations.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
It's totally fine. It's totally fine. It's perfectly fine.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okay. Can you explain. Are you okay?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okay. So as I told you I yeah I was working on one of the Sustainable Development Goals that is clean water and sanitation. So other than that uh I was just looking for some of the creative ways in which uh we can use to enhance clean water and uh good sanitation apart from the government's initiated methods. So other than that I was about to explain how we can purify water and we have several ways in which you can use to purify water. We can boil we can use chlorine and other chemicals. So I had an interesting uh method. You can also use the UV rays to purify water and uh according to research it is one of the best way of purifying water because according to statistics it is stated that it kills almost ninety-nine point ninety-nine percent of their micro-organisms but as for me I want to prove that it is the best way so with that I want to maybe do some...go to the lab test and uh test if up we refine water with the UV rays it is the best way of refining water I want to prove to people that uh it is the best way I want to prove if it kills almost 99 percent of micro-organisms that water we drink because if you can see that now a days many people are suffering with these kind of diseases like cholera and uh maleria which are bad diseases. So as for me I just had that now under. I also posted that question for you to help me in answering that question. I think you look at it later.,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Alright. The other question where did you post the question? (13 second pause) Where did you post the question?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oh Christine just go ahead and ask it. Just ask it.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
It's in the agenda Ish. It's on towards...but Christine do you want to go ahead and just tell us what the question? What is the question? Just tell us.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ok. Uh Apart from the the government-initiated methods that the government is using to enhance clean water and sanitation what are the other creative ways which we can use because we can see that creativity is one of the 21st century skills. So what are some of the other creative ways that we can use to maybe deal with this uh issue of clean water and sanitation? So that was my question.,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Okay. Well for me this is the first time I've heard of you UV rays. But I think it's a brilliant idea.,1,0,0,1,0,0,0,0,0,0,0,0,0,0
You come up with it? That's great.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
So uh the idea I got it from a magazine. I read it from a magazine and I decided to go deeper and explain how it works. So you consider the UV rays a form of killing the DNA so killing the DNA prevents the organism from reproducing. So I'll go ahead and explain more when I prepare a Sway or a video. I am not yet through with that...that project so when I get through I think... uh I'll explain more and more. Yeah.,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Okay. An Interesting idea...to share that an interesting idea is that... the um...do you know how the antibiotics when like when people abuse antibiotics sometimes there are bacteria that grow resistant to it is...you might want to look into if possible for some bacteria you become resistant to the UV rays of treatment. That's something if you want to look at as well. Okay alright. So like does anyone have an answer to um Christine's question that she mentioned earlier? Um that's a pretty tough question. Scientists have been dealing with it for a long time. I was just asking if anyone else could answer your question. To add something to answer your question.,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Some of it is add to that. Um it's not my idea. It's something that's actually in use right now. I live in Las Vegas and our local water source is from Lake Mead and we have to treat that water before we can use it. So we have a wastewater treatment plant here outside of town where they actually use ozone purify the water because ozone actually kills viruses and 100 percent of all bacteria and fungus. It's not cheap but it's a very effective way at purifying water that's actually in use and I think that could be something you could talk about as well uh with your research and one thing I would like to ask is how cost effective is the UV radiation for purifying water and how can you apply UV radiation in that scale? I know they make UV whites. Like I have a UV lamp here for my lizard but which is just a giant scale version of that or is there another way to apply UV radiation to the water? Is my question.,1,0,0,0,0,0,1,0,0,1,0,1,0,0
Okay cool. That's also a pretty valid point cost effectiveness of actually treating the water itself. So yeah Christine like when you're doing more of your research you might want to find out whether it's actually cost effective to use UV to treat water.,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Food. How about the group from from NYSci. Do you guys have a comment?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I don't know that much about purifying water so I don't want to butcher anything and contribute anything that's not of any use so.,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I mean it doesn't have to be...like what you think about the idea. Do you think it's like a...,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oh I didn't really. Yeah I think it's really interesting. I've never heard about UV rays stuff like that and I think it'd be informative for a lot of people.,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Maybe you and Christine can like collaborate. Like she can give you the research and you can make a video about you know UV rays. That'd be pretty cool right?,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Like both of you can help each other out. They anyone not having other comments? OK. So I think this meeting has been pretty good so far. Oh. we all talked about it things as anything anyone wants to mention before we start closing off? (pause). No?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Well Lameck were you going to talk about.,0,0,1,0,0,0,0,0,0,0,0,0,0,0
maybe I think you were going to mention a project you were doing. (pause) Yes you.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okay. My project was...uh about technology project but let me share about the one I'm doing currently in the process is about trapping of sunlight and is an idea that just came up in the mind because how to make work easier because the sun's energy it can be used in so many ways. It can you know help in the same way you find water and also you know heating whereby you know can be used as...I don't know how to explain it really but uh. So maybe I get back to you after I'm done with that research exactly but now let me share about what I understand well. It's about anti-gravity. So the idea was you know gravity how to you know reduce the gravity itself and to be free from gravity and uh. So we have...let me see an anti-gravity so. we love love low gravity capacities of gravity on a large scale. It's an idea that came up in my mind of how to make work easier using...how to raise boulders you know raising boulders is much harder when you have gravity. So I found out a way on how to reduce gravity and you can raise the boulders. Heavy heavy heavy materials to higher ground so I want to learn the gravity human brain and uh everything about using a magnet. Those are my projects.,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Alright that sounds pretty cool. But that's a lot too. Must keep you busy. Yeah um...Could you elaborate monitoring like antigravity thing is like a machine or is it like a concept or something?,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Not really like a machine but rather it's a setup this setup can reduce gravity so that I say that it's called the antigravity. So you create like a UFO unidentified flying object. So yeah. So that UFO can reduce gravity and uh so that region that you have the setup can...,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Okay so are you still working on the setup?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okay. Cool cool cool. So you want to get that done. That sounds pretty cool.,0,0,0,1,0,0,0,0,0,0,0,0,0,0
So the setup it includes of uh simple household things,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Just simple household items such as you know glass aluminum foil...,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Sorry Lameck we didn't actually say anything but we missed a little bit of what you said you were talking about the materials. All we heard was aluminum foil...,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Things cut off from there. I thought it was just me. 'Cause no one else was saying anything.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I was saying starting from glass you know basic things of getting into you can start from using a glass. Aluminum foil and you know and steel and copper coins. So we have this setup you will find out that they set up the job get it using the glass aluminum foil the copper coins and bedsheets it you start to know the will be looked at it and then did so start using that concept it can the quantity will allow that each anti-gravity so region that is not up to now be in the act to do so the region will be free of gravity and that gets the job. So that's just the basic concept about anti-gravity so using this concept can get a region gravity. Whereby uh I only know this goes but I wish to create that larger region of about 1 kilometer free of gravity.,1,0,0,0,0,0,1,0,0,0,0,0,0,0
During a mini set up already in many by my eye you can show us. I you still working on it?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
So for now I have a Sway. So I'm looking for a video. It does give you some time soon. The video is coming very soon. Oh no. I shall. Yes you do. Guys. Yeah.,0,1,0,0,0,0,0,0,0,0,0,0,0,0
I mean if you want you can share us the Sway.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeah.You can like screenshare the Sway and walk us through it. That would be pretty cool.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Let me just share this Sway. (pause) Just a moment.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Take your time. Anyone else have like a question about the gravity machine while you pull it up?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wait. Did you see the chat?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The chat window. There are some questions.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
